"","x"
"1","X1"
"2","X1"
"3","X1"
"4","X1"
"5","X1"
"6","X1"
"7","X1"
"8","X1"
"9","X1"
"10","X1"
"11","X1"
"12","X1"
"13","X1"
"14","X1"
"15","X1"
"16","X1"
"17","X1"
"18","X1"
"19","X1"
"20","X1"
"21","X1"
"22","X1"
"23","X1"
"24","X1"
"25","X1"
"26","X1"
"27","X1"
"28","X1"
"29","X1"
"30","X1"
"31","X1"
"32","X1"
"33","X1"
"34","X1"
"35","X1"
"36","X1"
"37","X1"
"38","X1"
"39","X1"
"40","X1"
"41","X1"
"42","X1"
"43","X1"
"44","X1"
"45","X1"
"46","X1"
"47","X1"
"48","X2"
"49","X2"
"50","X2"
"51","X2"
"52","X2"
"53","X2"
"54","X2"
"55","X2"
"56","X2"
"57","X2"
"58","X2"
"59","X2"
"60","X2"
"61","X2"
"62","X2"
"63","X2"
"64","X2"
"65","X2"
"66","X2"
"67","X2"
"68","X2"
"69","X2"
"70","X2"
"71","X2"
"72","X2"
