"","x"
"1","democrat"
"2","republican"
"3","republican"
"4","republican"
"5","democrat"
"6","democrat"
"7","democrat"
"8","republican"
"9","republican"
"10","democrat"
"11","republican"
"12","republican"
"13","republican"
"14","democrat"
"15","republican"
"16","democrat"
"17","democrat"
"18","democrat"
"19","democrat"
"20","democrat"
"21","republican"
"22","republican"
"23","democrat"
"24","republican"
"25","democrat"
"26","democrat"
"27","democrat"
"28","republican"
"29","democrat"
"30","republican"
"31","republican"
"32","democrat"
"33","republican"
"34","republican"
"35","republican"
"36","republican"
"37","democrat"
"38","republican"
"39","republican"
"40","democrat"
"41","republican"
"42","democrat"
"43","republican"
"44","republican"
"45","democrat"
"46","democrat"
"47","democrat"
"48","democrat"
"49","republican"
"50","democrat"
"51","republican"
"52","democrat"
"53","republican"
"54","republican"
"55","republican"
"56","republican"
"57","democrat"
"58","republican"
"59","democrat"
"60","republican"
"61","democrat"
"62","democrat"
"63","democrat"
"64","democrat"
"65","democrat"
"66","democrat"
"67","democrat"
"68","republican"
"69","democrat"
"70","republican"
"71","republican"
"72","republican"
"73","republican"
"74","democrat"
"75","democrat"
"76","democrat"
"77","democrat"
"78","democrat"
"79","republican"
"80","democrat"
"81","republican"
"82","democrat"
"83","republican"
"84","republican"
"85","republican"
"86","republican"
"87","democrat"
"88","democrat"
"89","democrat"
"90","democrat"
"91","republican"
"92","republican"
"93","democrat"
"94","democrat"
"95","democrat"
"96","democrat"
"97","democrat"
"98","democrat"
"99","republican"
"100","republican"
"101","republican"
"102","republican"
"103","democrat"
"104","democrat"
"105","republican"
"106","democrat"
"107","democrat"
"108","democrat"
"109","republican"
