"","x"
"1","X2"
"2","X1"
"3","X2"
"4","X1"
"5","X1"
"6","X1"
"7","X1"
"8","X2"
"9","X2"
"10","X1"
"11","X2"
"12","X1"
"13","X1"
"14","X1"
"15","X1"
"16","X1"
"17","X2"
"18","X1"
"19","X1"
"20","X1"
"21","X2"
"22","X2"
"23","X1"
"24","X2"
"25","X2"
"26","X1"
"27","X2"
"28","X1"
"29","X2"
"30","X2"
"31","X2"
"32","X1"
"33","X2"
"34","X1"
"35","X2"
"36","X2"
"37","X2"
"38","X1"
"39","X2"
"40","X2"
"41","X2"
"42","X2"
"43","X2"
"44","X2"
"45","X2"
"46","X1"
"47","X2"
"48","X2"
"49","X2"
"50","X2"
"51","X1"
"52","X1"
"53","X2"
"54","X2"
"55","X2"
"56","X2"
"57","X2"
"58","X2"
"59","X2"
"60","X2"
"61","X2"
"62","X2"
"63","X2"
"64","X2"
"65","X1"
"66","X2"
"67","X2"
"68","X2"
"69","X2"
"70","X2"
"71","X2"
"72","X2"
"73","X1"
"74","X2"
"75","X2"
"76","X2"
"77","X2"
"78","X2"
"79","X2"
"80","X2"
"81","X2"
"82","X2"
"83","X2"
"84","X2"
"85","X2"
"86","X2"
"87","X1"
"88","X1"
"89","X2"
"90","X2"
"91","X1"
"92","X2"
"93","X2"
"94","X2"
"95","X2"
"96","X2"
"97","X2"
"98","X2"
"99","X2"
"100","X2"
"101","X1"
"102","X2"
"103","X2"
"104","X2"
"105","X2"
"106","X2"
"107","X2"
"108","X2"
"109","X2"
"110","X2"
"111","X2"
"112","X2"
"113","X2"
"114","X2"
"115","X1"
"116","X2"
"117","X2"
"118","X2"
"119","X2"
"120","X2"
"121","X2"
"122","X1"
"123","X2"
"124","X2"
"125","X2"
"126","X2"
"127","X2"
"128","X2"
"129","X2"
"130","X2"
"131","X2"
"132","X2"
"133","X2"
"134","X2"
"135","X1"
"136","X1"
"137","X2"
"138","X2"
"139","X2"
"140","X1"
"141","X2"
"142","X1"
"143","X1"
"144","X1"
"145","X1"
"146","X1"
"147","X2"
"148","X2"
"149","X2"
"150","X1"
"151","X1"
"152","X2"
"153","X2"
"154","X2"
"155","X2"
"156","X2"
"157","X2"
"158","X2"
"159","X2"
"160","X2"
"161","X2"
"162","X2"
"163","X2"
"164","X2"
"165","X2"
"166","X2"
"167","X2"
"168","X1"
"169","X2"
"170","X2"
"171","X2"
"172","X2"
"173","X2"
"174","X1"
"175","X2"
"176","X2"
"177","X2"
"178","X2"
"179","X2"
"180","X2"
"181","X2"
"182","X2"
"183","X1"
"184","X2"
"185","X2"
"186","X2"
"187","X2"
